Country,Composite_Score,Health,Ecosystems,Waste,Climate,Rank
Finland,0.4391310357174097,1.9293776261818527,0.11704337810866153,1.087173908943166,-1.3770707703640415,21
Sweden,0.6746211080856592,1.8317632994071413,0.022581270548872656,1.3482029937918258,-0.5040631314052028,7
Iceland,0.8775609859794935,1.8290496670731364,0.637307719983222,2.501816625125027,-1.4579300682634118,2
Norway,0.494682925684068,1.7783413139140687,0.6309116053388838,1.1146199884690402,-1.5451412049857205,14
Switzerland,0.47782506586118667,1.6478497421924985,-0.13429978500308265,0.655689425355752,-0.2579391191004209,17
Japan,0.049400814333569076,1.6433937135586834,0.46475488062345965,-0.8202425535881457,-1.090302783259721,83
United Kingdom,0.474619262156572,1.6359269078574519,0.10144455201189492,0.7819957925006071,-0.6208902037436662,18
Ireland,0.4006274341797897,1.6202258245882557,-0.11482756085522083,1.495809670017226,-1.3986981970311023,26
Andorra,0.31701034991991944,1.6057710810665986,0.9311016188626114,-0.5611975798196016,-0.7076337204299306,34
San Marino,0.4810015880231956,1.6040484608651826,0.2981193330782716,0.3842907553057061,-0.362452197156378,16
